date,store,day_of_week,sales,customers,open,promo,state_holiday,school_holiday
2013-01-01,1,2,10856.0,1139.0,1,1,0,0
2013-01-02,1,3,9525.0,1003.0,1,1,0,0
2013-01-03,1,4,8857.0,916.0,1,1,0,0
2013-01-04,1,5,11351.0,1198.0,1,1,0,0
2013-01-05,1,6,9848.0,1025.0,1,0,0,0
2013-01-06,1,7,0.0,0.0,0,0,0,0
2013-01-07,1,1,16341.0,1719.0,1,1,0,0
2013-01-08,1,2,8135.0,854.0,1,0,0,0
2013-01-09,1,3,7392.0,778.0,1,0,0,0
2013-01-10,1,4,7915.0,829.0,1,0,0,0
2013-01-11,1,5,9676.0,1014.0,1,0,0,0
2013-01-12,1,6,10940.0,1138.0,1,0,0,0
2013-01-13,1,7,0.0,0.0,0,0,0,0
2013-01-14,1,1,11757.0,1252.0,1,0,0,0
2013-01-15,1,2,11512.0,1228.0,1,1,0,0
2013-01-16,1,3,8939.0,952.0,1,1,0,0
2013-01-17,1,4,9448.0,1000.0,1,1,0,0
2013-01-18,1,5,10269.0,1076.0,1,1,0,0
2013-01-19,1,6,9863.0,1050.0,1,0,0,0
2013-01-20,1,7,0.0,0.0,0,0,0,0
2013-01-21,1,1,14883.0,1566.0,1,1,0,0
2013-01-22,1,2,7820.0,821.0,1,0,0,0
2013-01-23,1,3,8165.0,860.0,1,0,0,0
2013-01-24,1,4,7923.0,831.0,1,0,0,0
2013-01-25,1,5,9517.0,1001.0,1,0,0,0
2013-01-26,1,6,8897.0,928.0,1,0,0,0
2013-01-27,1,7,0.0,0.0,0,0,0,0
2013-01-28,1,1,12049.0,1287.0,1,0,0,0
2013-01-29,1,2,11293.0,1188.0,1,1,0,0
2013-01-30,1,3,9019.0,947.0,1,1,0,0
2013-01-31,1,4,9676.0,1023.0,1,1,0,0
2013-02-01,1,5,11448.0,1211.0,1,1,0,0
2013-02-02,1,6,10545.0,1101.0,1,0,0,0
2013-02-03,1,7,0.0,0.0,0,0,0,0
2013-02-04,1,1,14540.0,1538.0,1,1,0,0
2013-02-05,1,2,8892.0,938.0,1,0,0,0
2013-02-06,1,3,8765.0,924.0,1,0,0,0
2013-02-07,1,4,7638.0,816.0,1,0,0,0
2013-02-08,1,5,9802.0,1026.0,1,0,0,0
2013-02-09,1,6,11501.0,1211.0,1,0,0,0
2013-02-10,1,7,0.0,0.0,0,0,0,0
2013-02-11,1,1,11159.0,1187.0,1,0,0,0
2013-02-12,1,2,11513.0,1196.0,1,1,0,0
2013-02-13,1,3,11647.0,1221.0,1,1,0,0
2013-02-14,1,4,9008.0,944.0,1,1,0,0
2013-02-15,1,5,13561.0,1433.0,1,1,0,0
2013-02-16,1,6,11625.0,1229.0,1,0,0,0
2013-02-17,1,7,0.0,0.0,0,0,0,0
2013-02-18,1,1,18403.0,1925.0,1,1,0,0
2013-02-19,1,2,9651.0,1022.0,1,0,0,0
2013-02-20,1,3,7547.0,792.0,1,0,0,0
2013-02-21,1,4,8217.0,860.0,1,0,0,0
2013-02-22,1,5,10546.0,1114.0,1,0,0,0
2013-02-23,1,6,11440.0,1197.0,1,0,0,0
2013-02-24,1,7,0.0,0.0,0,0,0,0
2013-02-25,1,1,12529.0,1316.0,1,0,0,0
2013-02-26,1,2,12269.0,1279.0,1,1,0,0
2013-02-27,1,3,11917.0,1249.0,1,1,0,0
2013-02-28,1,4,9890.0,1044.0,1,1,0,0
2013-03-01,1,5,13109.0,1382.0,1,1,0,0
2013-03-02,1,6,11268.0,1199.0,1,0,0,0
2013-03-03,1,7,0.0,0.0,0,0,0,0
2013-03-04,1,1,14580.0,1522.0,1,1,0,0
2013-03-05,1,2,8806.0,921.0,1,0,0,0
2013-03-06,1,3,8338.0,870.0,1,0,0,0
2013-03-07,1,4,8881.0,925.0,1,0,0,0
2013-03-08,1,5,11157.0,1178.0,1,0,0,0
2013-03-09,1,6,10526.0,1103.0,1,0,0,0
2013-03-10,1,7,0.0,0.0,0,0,0,0
2013-03-11,1,1,13416.0,1418.0,1,0,0,0
2013-03-12,1,2,9911.0,1042.0,1,1,0,0
2013-03-13,1,3,10414.0,1099.0,1,1,0,0
2013-03-14,1,4,10493.0,1105.0,1,1,0,0
2013-03-15,1,5,14354.0,1516.0,1,1,0,0
2013-03-16,1,6,12478.0,1314.0,1,0,0,0
2013-03-17,1,7,0.0,0.0,0,0,0,0
2013-03-18,1,1,15787.0,1665.0,1,1,0,0
2013-03-19,1,2,9133.0,965.0,1,0,0,0
2013-03-20,1,3,9589.0,1013.0,1,0,0,0
2013-03-21,1,4,8070.0,838.0,1,0,0,0
2013-03-22,1,5,10053.0,1057.0,1,0,0,0
2013-03-23,1,6,12197.0,1282.0,1,0,0,0
2013-03-24,1,7,0.0,0.0,0,0,0,0
2013-03-25,1,1,12639.0,1320.0,1,0,0,0
2013-03-26,1,2,10807.0,1151.0,1,1,0,0
2013-03-27,1,3,10868.0,1145.0,1,1,0,0
2013-03-28,1,4,10255.0,1070.0,1,1,0,0
2013-03-29,1,5,14330.0,1495.0,1,1,0,0
2013-03-30,1,6,12501.0,1314.0,1,0,0,0
2013-03-31,1,7,0.0,0.0,0,0,0,0
2013-04-01,1,1,17200.0,1805.0,1,1,0,0
2013-04-02,1,2,9096.0,958.0,1,0,0,0
2013-04-03,1,3,9292.0,973.0,1,0,0,0
2013-04-04,1,4,8372.0,886.0,1,0,0,0
2013-04-05,1,5,10804.0,1131.0,1,0,0,0
2013-04-06,1,6,10653.0,1121.0,1,0,0,0
2013-04-07,1,7,0.0,0.0,0,0,0,0
2013-04-08,1,1,11114.0,1190.0,1,0,0,0
2013-04-09,1,2,9934.0,1038.0,1,1,0,0
2013-04-10,1,3,10610.0,1113.0,1,1,0,0
2013-04-11,1,4,9860.0,1031.0,1,1,0,0
2013-04-12,1,5,13264.0,1402.0,1,1,0,0
2013-04-13,1,6,13991.0,1464.0,1,0,0,0
2013-04-14,1,7,0.0,0.0,0,0,0,0
2013-04-15,1,1,15473.0,1629.0,1,1,0,0
2013-04-16,1,2,9475.0,990.0,1,0,0,0
2013-04-17,1,3,8879.0,927.0,1,0,0,0
2013-04-18,1,4,8226.0,862.0,1,0,0,0
2013-04-19,1,5,10109.0,1047.0,1,0,0,0
2013-04-20,1,6,12488.0,1303.0,1,0,0,0
2013-04-21,1,7,0.0,0.0,0,0,0,0
2013-04-22,1,1,11721.0,1235.0,1,0,0,0
2013-04-23,1,2,11720.0,1232.0,1,1,0,0
2013-04-24,1,3,10835.0,1126.0,1,1,0,0
2013-04-25,1,4,9662.0,1013.0,1,1,0,0
2013-04-26,1,5,13266.0,1403.0,1,1,0,0
2013-04-27,1,6,10961.0,1158.0,1,0,0,0
2013-04-28,1,7,0.0,0.0,0,0,0,0
2013-04-29,1,1,16395.0,1719.0,1,1,0,0
2013-04-30,1,2,9304.0,984.0,1,0,0,0
2013-05-01,1,3,8061.0,844.0,1,0,0,0
2013-05-02,1,4,8183.0,852.0,1,0,0,0
2013-05-03,1,5,8547.0,893.0,1,0,0,0
2013-05-04,1,6,10639.0,1131.0,1,0,0,0
2013-05-05,1,7,0.0,0.0,0,0,0,0
2013-05-06,1,1,10480.0,1112.0,1,0,0,0
2013-05-07,1,2,12444.0,1306.0,1,1,0,0
2013-05-08,1,3,9181.0,974.0,1,1,0,0
2013-05-09,1,4,11049.0,1158.0,1,1,0,0
2013-05-10,1,5,11959.0,1258.0,1,1,0,0
2013-05-11,1,6,12334.0,1318.0,1,0,0,0
2013-05-12,1,7,0.0,0.0,0,0,0,0
